Major,Start,Mid,P10,P90,Group,Spread,Growth,Safety,Start_Rank,Mid_Rank,Rank_Change,Salary_Band,is_STEM,Group_Avg_Start,vs_group_avg
Accounting,46000.0,77100.0,42200.0,152000.0,Business,109800.0,67.6086956521739,0.41894353369763204,17.0,22.0,-5.0,Low,False,44633.333333333336,1366.6666666666642
Aerospace Engineering,57700.0,101000.0,64300.0,161000.0,STEM,96700.0,75.04332755632582,0.5966907962771458,6.5,4.0,2.5,Medium,True,53862.5,3837.5
Agriculture,42600.0,71900.0,36300.0,150000.0,Business,113700.0,68.7793427230047,0.37467018469656993,21.5,26.0,-4.5,Low,False,44633.333333333336,-2033.3333333333358
Anthropology,36800.0,61500.0,33800.0,138000.0,HASS,104200.0,67.11956521739131,0.3531669865642994,38.0,37.0,1.0,Low,False,37186.36363636364,-386.36363636363967
Architecture,41600.0,76800.0,50600.0,136000.0,Business,85400.0,84.61538461538461,0.48711943793911006,23.0,23.0,0.0,Low,False,44633.333333333336,-3033.3333333333358
Art History,35800.0,64900.0,28800.0,125000.0,HASS,96200.0,81.28491620111731,0.37214137214137216,44.0,33.0,11.0,Low,False,37186.36363636364,-1386.3636363636397
Biology,38800.0,64800.0,36900.0,135000.0,STEM,98100.0,67.0103092783505,0.39551478083588176,32.5,34.0,-1.5,Low,True,53862.5,-15062.5
Business Management,43000.0,72100.0,38800.0,147000.0,Business,108200.0,67.67441860465117,0.3974121996303142,20.0,25.0,-5.0,Low,False,44633.333333333336,-1633.3333333333358
Chemical Engineering,63200.0,107000.0,71900.0,194000.0,STEM,122100.0,69.30379746835443,0.5176085176085176,2.0,1.0,1.0,High,True,53862.5,9337.5
Chemistry,42600.0,79900.0,45300.0,148000.0,STEM,102700.0,87.55868544600939,0.4148003894839338,21.5,18.0,3.5,Low,True,53862.5,-11262.5
Civil Engineering,53900.0,90500.0,63400.0,148000.0,STEM,84600.0,67.90352504638219,0.6371158392434988,10.0,12.0,-2.0,Medium,True,53862.5,37.5
Communications,38100.0,70000.0,37500.0,143000.0,HASS,105500.0,83.72703412073491,0.36113744075829385,34.0,28.0,6.0,Low,False,37186.36363636364,913.6363636363603
Computer Engineering,61400.0,105000.0,66100.0,162000.0,STEM,95900.0,71.00977198697068,0.6402502606882169,3.0,2.0,1.0,High,True,53862.5,7537.5
Computer Science,55900.0,95500.0,56000.0,154000.0,STEM,98000.0,70.84078711985688,0.5704081632653061,8.0,7.0,1.0,Medium,True,53862.5,2037.5
Construction,53700.0,88900.0,56300.0,171000.0,Business,114700.0,65.54934823091247,0.46817785527462946,11.0,13.0,-2.0,Medium,False,44633.333333333336,9066.666666666664
Criminal Justice,35000.0,56300.0,32200.0,107000.0,HASS,74800.0,60.857142857142854,0.4679144385026738,47.0,44.0,3.0,Low,False,37186.36363636364,-2186.3636363636397
Drama,35900.0,56900.0,36700.0,153000.0,HASS,116300.0,58.495821727019504,0.30868443680137575,42.0,43.0,-1.0,Low,False,37186.36363636364,-1286.3636363636397
Economics,50100.0,98600.0,50600.0,210000.0,Business,159400.0,96.8063872255489,0.31430363864491845,13.0,5.0,8.0,Medium,False,44633.333333333336,5466.666666666664
Education,34900.0,52000.0,29300.0,102000.0,HASS,72700.0,48.99713467048711,0.48005502063273725,48.0,49.5,-1.5,Low,False,37186.36363636364,-2286.3636363636397
Electrical Engineering,60900.0,103000.0,69300.0,168000.0,STEM,98700.0,69.12972085385879,0.6170212765957447,4.0,3.0,1.0,High,True,53862.5,7037.5
English,38000.0,64700.0,33400.0,133000.0,HASS,99600.0,70.26315789473684,0.3815261044176707,35.0,35.0,0.0,Low,False,37186.36363636364,813.6363636363603
Film,37900.0,68500.0,33900.0,136000.0,HASS,102100.0,80.73878627968337,0.3712047012732615,36.0,29.0,7.0,Low,False,37186.36363636364,713.6363636363603
Finance,47900.0,88300.0,47200.0,195000.0,Business,147800.0,84.34237995824635,0.32408660351826796,16.0,14.0,2.0,Medium,False,44633.333333333336,3266.6666666666642
Forestry,39100.0,62600.0,41000.0,111000.0,Business,70000.0,60.10230179028133,0.5585714285714286,31.0,36.0,-5.0,Low,False,44633.333333333336,-5533.333333333336
Geography,41200.0,65500.0,40000.0,132000.0,HASS,92000.0,58.98058252427184,0.44782608695652176,24.0,32.0,-8.0,Low,False,37186.36363636364,4013.6363636363603
Geology,43500.0,79500.0,45000.0,156000.0,STEM,111000.0,82.75862068965517,0.3918918918918919,19.0,20.0,-1.0,Low,True,53862.5,-10362.5
Graphic Design,35700.0,59800.0,36000.0,112000.0,HASS,76000.0,67.50700280112045,0.4697368421052632,45.0,40.0,5.0,Low,False,37186.36363636364,-1486.3636363636397
Health Care Administration,38800.0,60600.0,34600.0,101000.0,Business,66400.0,56.18556701030928,0.5843373493975904,32.5,38.0,-5.5,Low,False,44633.333333333336,-5833.333333333336
History,39200.0,71000.0,37000.0,149000.0,HASS,112000.0,81.12244897959184,0.35,30.0,27.0,3.0,Low,False,37186.36363636364,2013.6363636363603
Hospitality & Tourism,37800.0,57500.0,35500.0,124000.0,Business,88500.0,52.116402116402114,0.4271186440677966,37.0,42.0,-5.0,Low,False,44633.333333333336,-6833.333333333336
Industrial Engineering,57700.0,94700.0,57100.0,173000.0,STEM,115900.0,64.12478336221838,0.49784296807592754,6.5,8.0,-1.5,Medium,True,53862.5,3837.5
Information Technology (IT),49100.0,74800.0,44500.0,129000.0,STEM,84500.0,52.342158859470466,0.5810650887573965,15.0,24.0,-9.0,Medium,True,53862.5,-4762.5
Interior Design,36100.0,53200.0,35700.0,107000.0,HASS,71300.0,47.368421052631575,0.5063113604488079,40.0,47.0,-7.0,Low,False,37186.36363636364,-1086.3636363636397
International Relations,40900.0,80900.0,38200.0,157000.0,HASS,118800.0,97.79951100244499,0.3442760942760943,25.0,17.0,8.0,Low,False,37186.36363636364,3713.6363636363603
Journalism,35600.0,66700.0,38400.0,145000.0,HASS,106600.0,87.35955056179775,0.3339587242026266,46.0,31.0,15.0,Low,False,37186.36363636364,-1586.3636363636397
Management Information Systems (MIS),49200.0,82300.0,45300.0,146000.0,STEM,100700.0,67.27642276422763,0.4885799404170804,14.0,15.0,-1.0,Medium,True,53862.5,-4662.5
Marketing,40800.0,79600.0,42100.0,175000.0,Business,132900.0,95.09803921568627,0.30699774266365687,26.5,19.0,7.5,Low,False,44633.333333333336,-3833.3333333333358
Math,45400.0,92400.0,45200.0,183000.0,STEM,137800.0,103.52422907488987,0.32946298984034833,18.0,10.0,8.0,Low,True,53862.5,-8462.5
Mechanical Engineering,57900.0,93600.0,63700.0,163000.0,STEM,99300.0,61.6580310880829,0.5830815709969789,5.0,9.0,-4.0,Medium,True,53862.5,4037.5
Music,35900.0,55000.0,26700.0,134000.0,HASS,107300.0,53.2033426183844,0.33457595526561046,42.0,46.0,-4.0,Low,False,37186.36363636364,-1286.3636363636397
Nursing,54200.0,67000.0,47600.0,98300.0,Business,50700.0,23.616236162361623,1.069033530571992,9.0,30.0,-21.0,Medium,False,44633.333333333336,9566.666666666664
Nutrition,39900.0,55300.0,33900.0,99200.0,HASS,65300.0,38.59649122807017,0.6110260336906586,28.5,45.0,-16.5,Low,False,37186.36363636364,2713.6363636363603
Philosophy,39900.0,81200.0,35500.0,168000.0,HASS,132500.0,103.50877192982458,0.3011320754716981,28.5,16.0,12.5,Low,False,37186.36363636364,2713.6363636363603
Physician Assistant,74300.0,91700.0,66400.0,124000.0,STEM,57600.0,23.418573351278603,1.2899305555555556,1.0,11.0,-10.0,High,True,53862.5,20437.5
Physics,50300.0,97300.0,56000.0,178000.0,STEM,122000.0,93.43936381709742,0.4122950819672131,12.0,6.0,6.0,Medium,True,53862.5,-3562.5
Political Science,40800.0,78200.0,41200.0,168000.0,HASS,126800.0,91.66666666666666,0.3217665615141956,26.5,21.0,5.5,Low,False,37186.36363636364,3613.6363636363603
